Logradouro,Endereco,Numero,Complemento,Bairro,Cidade,Estado,Pais,Cep,Latitude,Longitude
PRACA,FELIX PACHECO 632,1190,,,PICOS,,,64600-082,-7.082205,-41.468264
RUA,DOM EMANUEL 0,1192,,,SENADOR CANEDO,,,75250-000,-16.705531,-49.095157
AVE,DANIEL DE LA TOUCHE 987 SUC405 AB,1195,,,SAO LUIS,,,65074-115,-2.527688,-44.255014
AVENIDA,LEOPOLDINO DE OLIVEIRA 5100 LJ AN 5 P2,1196,,,UBERABA,,,38060-000,-19.738157,-47.943582
RUA,NAIR MESQUITA 4,1200,,,MACAIBA,,,59280-000,-5.85671,-35.352196
RUA,JOCKEY CLUBE 343 ANCORA 4,26,,,RIO GRANDE,,,96212-730,-32.048868,-52.147752
RODOVIA,BR-101 0 KM 295,51,,,ITABORAI,,,24809-234,-22.767277,-42.905877
RUA,SACADURA CABRAL 102,54,,,RIO DE JANEIRO,,,20081-260,-22.897523,-43.184348
AVN,AMARAL PEIXOTO 559,76,,,VOLTA REDONDA,,,27253-223,-22.511503,-44.086895
RUA,DOUTOR PEDRO LUIZ 255 LJ 45 2(o) P,374,,,SETE LAGOAS,,,35700-004,-19.458756,-44.244106
RODOVIA,AMARAL PEIXOTO 455 LT 13 QD A,662,,,CASIMIRO DE ABREU,,,28860-000,-22.590834,-41.992655
AVENIDA,AFONSO PENA 554,673,,,NATAL,,,59020-065,-5.788331,-35.197385
AVENIDA,BRASIL 0 LUC 16,690,,,SERRA,,,29163-165,-20.222069,-40.253065
RUA,ACADEMICO NILO FIGUEIREDO 1723 LUC 28 29,691,,,LAGOA SANTA,,,33400-000,-19.6383,-43.904622
AVENIDA,REPUBLICA ARGENTINA 1115 LJS 1 E 2,692,,,CURITIBA,,,80620-010,-25.45649,-49.28841
RUA,PADRE EUSTAQUIO 2203,693,,,BELO HORIZONTE,,,30720-100,-19.915147,-43.973664
AVENIDA,MANOEL RIBAS 332,703,,,UNIAO DA VITORIA,,,84600-000,-26.230247,-51.087168
RUA,BARAO DO RIO BRANCO 186,704,,,SAO BENTO DO SUL,,,89280-355,-26.248101,-49.380947
RUA,PRESIDENTE CARLOS CAVALCANTI 249,705,,,ARAUCARIA,,,83702-470,-25.426794,-49.267511
AVENIDA,DOUTOR BELMINO CORREIA 2263 QD B LT 4,706,,,CAMARAGIBE,,,54762-303,-8.019289,-34.975746
RUA,URSULA PAULINO 1417 1461 LJ1E2,707,,,BELO HORIZONTE,,,30580-353,-19.960128,-43.989082
AVENIDA,DARCY VARGAS 2216 CASA 1 E 2,709,,,DUQUE DE CAXIAS,,,25237-010,-22.757282,-43.305904
PRACA,DA BANDEIRA 179,710,,,RIO DE JANEIRO,,,20270-150,-22.910939,-43.213948
AVENIDA,FERNANDO COSTA 222,711,,,CAJATI,,,11950-000,-24.728766,-48.123473
AVENIDA,BRASIL 2190 LOJA 01,712,,,ABREU E LIMA,,,53565-040,-7.855604,-34.905559
AVENIDA,PAULO DE FRONTIN 738,713,,,VOLTA REDONDA,,,27213-270,-22.505508,-44.092252
AVENIDA,NOSSA SENHORA DA PENHA 415 LOJA 01,714,,,VITORIA,,,29056-250,-20.292135,-40.302409
AVENIDA,MATEO BEI 1998 LT 04,715,,,SAO PAULO,,,03949-200,-23.599794,-46.484442
AVENIDA,JOAO SACAVEM 196,716,,,NAVEGANTES,,,88370-438,-26.901108,-48.652329
RUA,SETE DE SETEMBRO 44,717,,,SURUBIM,,,55750-000,-7.837549,-35.75841
RUA,ORESTE MAZONI 21 E 31,718,,,INDAIATUBA,,,13345-416,-23.104403,-47.219322
PRACA,GERALDO COSTA 58,719,,,TREMEMBE,,,12120-000,-22.968231,-45.550972
RUA,DA MATRIZ 39,720,,,BEZERROS,,,55660-000,-8.23571,-35.754223
RUA,JOAO GOMES 48,721,,,SALVADOR,,,41950-640,-13.011661,-38.491386
RUA,L 0 LT 16 QD15,722,,,CABO FRIO,,,28927-000,-22.823496,-42.000931
RUA,FRANCISCO CLAUDINO DOS SANTO 180,723,,,FAZENDA RIO GRANDE,,,83833-056,-25.644762,-49.314647
RUA,FRANCISCO DESLANDES 900 L161 P L01,725,,,BELO HORIZONTE,,,30310-530,-19.951323,-43.927911
AVENIDA,DEZESSETE DE AGOSTO 1476,726,,,RECIFE,,,52061-540,-8.035133,-34.920621
RODOVIA,BR-101 SUL 9415 GP A,966,,,CABO DE SANTO AGOSTINHO,,,54510-000,-8.325862,-35.099409
AV,ANHANGUERA 5562,33,,,GOIANIA,,,74043-010,-16.66953996,-49.30221672
SCS,Q 04 BLOCO A LOJA 11 0,35,,,BRASILIA,,,70300-500,-15.67901326,-48.1926823
AV,IGUATEMI 777,38,,,CAMPINAS,,,13094-900,-22.893526,-47.028891
ROD,BR 356 3049 LJ BH17,40,,,BELO HORIZONTE,,,30330-000,-19.98450624,-43.98062825
AV,IBIRAPUERA 3101,43,,,SAO PAULO,,,04029-200,-23.609622,-46.667912
AV,PRINCESA ISABEL 475,45,,,VITORIA,,,29010-361,-20.319604,-40.330379
RUA,BARAO DO RIO BRANCO 922,47,,,FORTALEZA,,,60025-000,-3.727950384,-38.52869243
PRACA,TUBAL VILELA 252 NA 272,49,,,UBERLANDIA,,,38400-186,-18.920547,-48.277654
AVENIDA,GOVERNADOR AGAMENON MAGALHAES 153 LJ 100,56,,,RECIFE,,,50110-900,-8.036963,-34.872195
RUA,EPAMINONDAS OTONI 813 LT 41 QD 2,78,,,TEOFILO OTONI,,,39800-013,-17.86279,-41.508767
PCA,CANDIDO MENDES 348,80,,,CAXIAS,,,65606-010,-4.86176,-43.362841
RUA,MARCIANO SANTOS 353,82,,,ARAGUARI,,,38440-128,-18.651534,-48.192411
AVENIDA,JOSE JOAQUIM SEABRA 368 N 370,84,,,SALVADOR,,,40025-001,-12.968497,-38.505282
